rating,title,content
5,Jameela Is A Treasure,Jameela is making history and I’m thankful for her. Is she perfect? No. Do I always agree with everything she says? No. But the wide array of topics she covers and her compassion and bravery are unmatched. She is truly a treasure.
5,*****,Great podcast!
3,"An interesting interviewer, but","She sometimes doesn’t rly internalize what her guests are talking about when they’re from disenfranchised groups she can’t personally relate to. She’s a lovable tryhard, she asks good questions of interesting guests and leaves them tons of space to respond without speaking over them. But if you read recent guest Clementine Morrigan’s sub stack, who just last month was concern trolling about trans kids and has been engaging with transphobes before by lending a “legitimizing” queer voice to their obvi phobic show? You get the sense that while Jameela Jamil wants there to be better discourse, she’s more interested in defending a bigot’s right to speak than, say, protecting the communities they are attacking. Jamil’s work walks a fine line, there’s bound to be missteps and she’s open about it, but why ask Natalie Wynn on if you’re not rly going to listen to her? It’s hard not to listen to ppl and cherry pick whatever confirms your own biases without challenging those biases, but Jamil says that is what her job is. So she should do that job."
2,Disinformation,"I’ve listened to this podcast for years and have mostly really enjoyed it, but in the recent episode “Unpacking Pop Psychology w/Seerut K. Chawla” Jameela makes several inaccurate and harmful statements about autism/autistic people while using outdated, ableist and antisemitic terminology and functioning labels. I would normally assume a person speaking this way is just uneducated, but she’s had multiple autistic guests on the podcast in the past year to speak specifically about autism. It feels difficult to believe she didn’t learn or internalize why her statements are problematic while researching for those episodes or during the episodes themselves. As an autistic person, I’m disappointed and simply don’t feel comfortable listening to a podcast that perpetuates this kind of disinformation."
5,Jameela Jamil for President,"I listened to the episode of Podcrushed where Jameela more or less interviewed Penn and I just needed more of her. She’s quick witted, so incredibly intelligent, seems to have a wonderful sense of humor — and those words don’t even begin to describe how amazing her soul is. I absolutely adore this woman and find myself more times than not nodding along as she speaks on various issues with her guests, or even outwardly and enthusiastically saying “yes” during these conversations. Jameela is astonishing. Her guests are superb. If I could give this podcast four trillion stars, I absolutely would."
5,This pod is a must-listen,"Only a few episodes in and LOVING the takes, the guests, everything. On the ‘cancelled’ episode right now and Jameela said something that I keep coming to as a teacher - kids are seeing what people say online and how we treat each other and they ARE bringing this to the classroom. I hear too many awful interactions that didn’t happen even a few years ago because even teenagers don’t see the difference. This is harmful and heartbreaking. Thank you for calling out the grown ups and reminding us how we need to behave to set a better example. We all deserve more humanity."
5,Challenging and comforting at the same time,"The array of guests on this podcast are fantastic and I can really feel the drive Jameela has for understanding and exploring other peoples experiences. Jameela is doing important, validating work in this space but also isn’t afraid of challenging topics."
1,almost,"wrong babe, we do not need men. we can absolutely take the power for ourselves."
1,Not true,No credentials lots of fake news cited
4,Great guests,"This podcast has some fantastic guests, who are funny, sparkling, and informed at talking about their areas of specialization. I have listened to several of the episodes. The host asks penetrating questions. One piece of feedback is that the host could listen to her guests instead of talking over, interrupting, or speaking for them. The episode with the dynamic and exhilirating Amanda Seales is difficult to listen to at times because of this issue."
5,Thank you!,"Thank you, Jameela. I loved you in The Good Place and on IG but now that I have listened to “Invisible Illnesses with Meghan O’Rourke, I am inspired! As a fellow hEDS-er, thank you for saying so clearly everything I’ve been feeling. I’m loosing forward to reading Meghan’s book."
5,Refreshing and so needed,"Listening to Jameela speak about literally anything is like drinking water and breathing air. This podcast has sincerely improved my quality of life. As someone with hEDS and a whole host of related medical conditions, I listened to this most recent episode multiple times because it was just so *good for the soul* to hear two fabulous women with hEDS chat about their lives! Thank you for everything Jameela. And thank you to all the like-minded people out there for keeping this show on the air."
5,Why did I wait so long to listen?!?,I have known about this podcast forever and finally started listening. I am binging it like crazy - thank you Jameela for talking about everything! 🥰
5,Great Host! Great Guests!,There hasn’t been an episode I haven’t enjoyed or haven’t learned from. Thank you. THIS is meaningful
5,"Fantastic, superb, lovely","Jameela, I am so grateful to you for sharing your wisdom and your heart. You are like the healthy friend I so desperately need. thank you a million times over for your transparency. You are such a role model and inspiration to me 🤍"
5,My favorite,One of my absolute favorites. Jameela has important conversations about developmental trauma ( childhood trauma) with real down -to -earth conversations. She’s a much needed voice in the mental health space! 💜
5,Rachel Bloom,"Just found out about this podcast because I’m a huge fan of Rachel Bloom. Really enjoyed it, definitely going to listen to more."
5,"Thoughtful, funny, and educational",I look forward to listening to new episodes every week because I always walk away learning something new. I am so appreciative of the anti shame approach to every topic covered.
1,One star for Aubrey Gordon,"I realize the Jameela Jamil is an actress. She’s not a scientist, she does not have any credentials at all, but she did at least claim to be against diet culture. Imagine my surprise when she has “glucose goddess” on the show. I thought it was a joke for a minute. This woman actually recommends that people drink apple cider vinegar. So instead of just enjoying a cookie completely worry, free, I can instead pair it with an ulcer in my esophagus and less enamel on my teeth. This platform claimed to be a safe space but instead is encouraging incredibly problematic behaviors around eating. So disappointed, I will definitely be unsubscribing!"
5,Excellent,"I have listened to three episodes and am blown away by Jameela’s intellect, thoughtfulness, honesty, and creativity. Very impressive. I look forward to listening to more."
5,F*#% the patriarchy,"I adore this podcast. When I feel so sad and defeated by the state of our society that I just want to run away and live in the woods like a feral cat, I give this a listen and suddenly I feel like the Kool-Aid man right after he busts through a stranger's wall, ready to rejoin the fight. Thank you, Jameela, for never giving up the fight. Your energy is so very much needed in this sick world."
4,Great,I am so happy I came across this podcast. It’s certainly interesting.
5,Thank you for identifying narcissistic behavior so we stop allowing it,"You have brought so much light of what to look for and how to get out if you’re in a toxic relationship, and how to see the red flags in order prevent getting sucked in again."
5,Wow.,"My goodness, Jameela! What a powerhouse you are. 

Although I’m your age, I listen to The View’s podcast daily (lol), and hearing you on there was the first time I got exposure to you outside of your acting work. I was impressed by how well-spoken and thoughtful you are, and as soon as I learned of a way to continue listening to you, I immediately subscribed to this podcast. 

I’m currently listening to the Sam Sanders episode (love you, Sam!) and you are absolutely brilliant! You’re a wonderful interviewer, a fabulous speaker, intelligent, and your heart seems so pure. I’m so grateful to The View for helping me (and I’m sure numerous others) to find your podcast! 

Thanks for the great work you’re doing. 💝"
5,100%,Jamel’s thank you for being yourself. I celebrate you (possibly idolize a little) and honor what you bring to the world. All my love. Thirteen thank yous. Thirteen thank yous. 💚 jocela mae Crawford
5,I love Jameela and I love this podcast,"Thank you so much, you add so much light to the world. The interviews are fascinating, varied and very fun to listen to!"
5,such a great show,so informative (
5,Very interesting,"This show is generally very interesting and engaging, but the episode on narcissism was SO GOOD. Such an important conversation to be having, and the style pulls you right in."
5,Inspiring,This podcast always makes me feel better about life!
1,Affluent Women Whine About Society,"Your typical modern-day feminist clap-trap. The patriarchy is keeping women down, despite the fact that more women graduate college than men, and make more money. Completely out-of-touch the average person. Depressing topics. If you're feeling a little down, don't listen to this podcast. You might just end it all."
5,"Not perfect, but still my favorite","Jameela, you’re wonderful. Thank you for trying to break so many molds in Hollywood, being as unrestrained and genuine as you can be, and for talking about topics other celebrities shy away from. Thanks for not being scared of being “cancelled”, and saying the truth. I agree, sometimes you bulldoze convos and talk over guests, but I can tell you’ve been working on it. Love love love love you. (Obsessed with the Cindy episode/real sex, Ricki Lake and Abby/birth control, and more)."
2,Bleh,"Let your guests speak without the constant interruption, yo. It’s so cringey that I can’t listen anymore."
1,Brutal,"One of the more depressing, low energy, man-hating podcasts out there. I can’t imagine what tired, lonely soul is listening to this bore of a podcast.  Come on women, be entertaining. This is bad, real bad."
1,Unlistenable,"Jameela Jamil is a shrill, nasty, deplorable harpy. The fact that she is famous for anything other than what she looks like reflects dismally on our society."
1,Rich women tell you how to live.,Narcissistic rich women explain how normal people are wrong for trying to survive while working a 9-5. Hopefully mental illness will take this podcast soon.
1,Phony,She is such a phony and this podcast will make you dumbers.
5,I bet you'll love this,"After just one episode of this podcast, I have completely changed my way of thinking about what I weigh, literally and figuratively 

Throw your bloody scale away and work on how you can find one thing to make yourself happier every day. Thanks, Jameela and all who work so hard on this exceptional podcast 
I love you"
5,Fabulous,"Fabulous podcast. Interesting, informative, and relevant."
1,Used to love this podcast,Platforming Tyler Henry and folks spreading misinformation about birth control has done it for me. I’m very disappointed as a long time fan of the podcast and of Jameela Jamil
5,I weigh,"I love Jameela. She has not only helped me with body issues, but also with cutting out toxic people. ❤️❤️❤️❤️❤️"
5,Great Ambiance,"“Feel good” and/but thought provoking podcast. Time well spent, always!!"
1,Psychics are scam artists.,"I’m a big supporter of JJ and always will be - her heart is unquestionably in the right place, but ultimately, I unsubscribed today after she brought on a psychic - psychics are scam artists who prey on people’s suffering and often cause major financial and personal damage. If you’ve ever been critical of Joe Rogan for allowing guests to spread dangerous ideas, then you have to be critical of her as well. Bringing on a psychic undermines the credentials of the medical professionals she’s also brought on the show and places them on the same playing field. JJ always talks about using her high profile responsibly, she’s not done so this time."
5,Love!!,She is a great interviewer and always discusses very important topics. My favorite podcast!
5,Great show!,"Jameela, host of the podcast, highlights all aspects of how important and interesting people manage their mental health and more in this can’t miss podcast!  The host and expert guests offer insightful advice and information that is helpful to anyone that listens!"
5,Fun Always (Especially Mike Schur Episode)!,"I love the vulnerability exhibited by both Jameela and her guests. The Mike Schur episode recently was so fun and sweet and funny! She talks with many guests who I haven’t known before, which is a great way to be exposed to new insights and cool people! Thanks Jameela! Your journey, honesty, and self reflection is lovely."
5,She actually cares,"Jameela is amazing just such a caring person who campions many who struggle to be heard, represented and respected. She’s like the girl in high school that sticks up for the unpopular kids without even caring or considering what the popular kids would say. I love her. The episode with JVN is incredible and had me crying on my way to work. Their interview was special."
5,"I love, feel supported, heard & learn from this show.","This show has helped me with my mental health journey. I appreciate the stigma breaking voice of Jameela and have learned so much and grown personally and emotionally from this content.

I also love the diverse guests. 

I can’t describe how what I’ve learned through listening has helped break old and harmful social ideas that have held me back in my life.

I can’t recommend enough! ❤️"
3,Let the guest speak,I want to like this podcast because there’s some great guest BUT Jameela doesn’t let her guests speak. I hear a lot of “I” when she’s speaking and she’s doesn’t let the guests finish a freaking thought!!! Let them speak and take a step back to actually “hear” what they are saying.
1,Another dangerous fat acceptance podcast,“Body positive” activists want everyone to be fat and unhealthy.
5,I love Jameela,I love what Jameela weighs!  She has introduced me to some gorgeous women who inspire and motivate me. She puts such positivity out into the world.  And I love how she does it while being so relatable and human and peppering in a few curse words. Love it!
5,One of my favorite podcasts,💕
5,Didn't know I needed this,"This is the podcast I didn't know I needed until I started listening to it. Jameela brings in so many guests with perspectives and life experiences that I wouldn't have been exposed to, and it has been really enlightening and helped me keep an open mind as I go through the world. Jameela is really putting some good into the world with this and her iWeigh movement overall."
5,Celebrate every Friday,"Seriously have more joy on the last day of the school/work week now because I know there is a new episode to join in on whenever I am ready. Have gotten my husband addicted to the shared laughs and learning on his work commute, too. This is the best coffee date with your favorite girlfriend and whoever she brings to the table. Keep up the great work!!! You are heard and appreciated!!!"
5,Iweigh,This podcast is worth every second.  It is priceless - an honest perception on our misogynistic culture.  The episode with Samantha Bee is a treasure and so inspiring!  Thank you!!!
3,LET THEM SPEAK,"Listened because she interviewed Natalie Wynn, depressed bc I didn’t get to hear much from Natalie Wynn. More of Jameela talking over an actual trans woman about trans & cis women’s struggles. I know she’s good intentioned but please please exercise some self restraint 🙏🏽"
3,I Listen… but Jameela doesn’t,"I want to love this podcast because I’m totally behind the movement and the conversations that need to be had, but Jameela… you need to stop interrupting and let the guests speak more. Almost every episode is more of you talking than the guests.
Often times they begin to fully develop the answer to your questions but then you bulldoze and attach a story with your own experience instead of hearing theirs out. It’s so apparent in every episode. I can feel the guests kind of thrown off and silent sometimes because it just takes a turn into the Jameela Show. I hope you take constructive criticism and allow your guests more time to speak and take time to just listen."
3,Changed my mind,This podcast used to be really empowering to women.  The last week’s episodes have been real soft balls. Rating is ehhhh.
5,Girl Crush,"Thank you Jameela. Thanks for your honesty, activism, humor, and willingness to go there, wherever there may be."
5,Breath of fresh air,"Always liked Jameela Jamil in the Good Place, was totally thrilled when she had on other women talking about the experience of chronic pain. Personally it was definitely the first time I could look at a celebrity (including the woman they had on to talk about her experiences; I’m blanking who it was) and see someone going through/went through the type of issue I am going through. Especially chronic illnesses are a taboo topic for women in some way. I feel like more upbeat (not doom mongering) discussion is necessary in our culture. Anyway, it’s a nice listen with lots of positive episodes."
5,Love Jameela so much!,This is the most calming educating lovely podcast! Love the guests and I would listen to Jameela solo too. Get it
5,Makes me happy,"Listening to Jameela makes me feel so happy and loving of myself and others, I love it and love her :) thank you Jameela!"
5,always worth listening to,"I love this podcast. Jameela is brilliant, funny, authentic and brings out the same in her guests. She centralizes topics that aren’t frequently discussed in pop culture, normalizes mental health conversations, and has super interesting people on from any number of backgrounds - both famous and well-known guests, as well as lesser known people who she feels ought to be given a platform. I always find her podcast worth listening to, even if it’s a topic i already know something about, because it goes deep and personal, giving me food for thought. Keep it up, Jameela!"
5,Down to Earth and Informative,"I love Jameela and the guests she brings on. For me, it’s a mix of people I love and people I’ve never heard of. Each person brings something different to the table and teaches their listeners something important. Highly recommend a listen ♥️"
5,A true Gem,"I stumbled across this when the host was on Demi’s podcast. I had only known her from “The Good Place”. But she is so much more than an actress, comedian and pretty face! This podcast speaks to all the issues people won’t/don’t talk about. Her blunt opinions resonate with me and gives me a better outlook on society. Love love love!!!!
PS i weigh two beautiful children who may or may not be addicted to Netflix, the ability to see the good In most anything (not nazis) a glass is half full attitude and bake a mean pie."
1,LOST ALL RESPECT FOR YOU JAMEELA,You should have done more to speak against the injustice against the Palestinian people. SHAME ON YOU.  Be the woman you pretend to be and make your living off of pretending to be. I expected so much more from you. You’re a fraud canceling all of my subscriptions and will never support anything your name is attached to. Completely disappointed.
5,Jameela rocks,And I want to be her friend!!
5,Thank you for a great podcast!,"Jameela, I love this podcast SO much. Your vulnerability and honesty make you totally relatable and I listen every week. I have not stopped thinking about what Natalie Morales was describing regarding ADHD in women. I had never even considered there might be an explanation for my procrastination, clutter, difficulty finishing projects, and interrupting, other than their being character flaws. I have something else to explore about myself now."
5,"Inspiring, informative, and inclusive",It’s like hanging out with a group of friends on Podcast.
5,Loved ! LoVeD!! LOVED Nikki Glaser!!,❤️❤️❤️MORE PLEASE!! ❤️❤️❤️
2,Why Even Have Guests?,"I so badly wanted to love this Podcast since I love Jameela so much, but I found it to be impossible to get through as she continually interrupts her guests with her own personal stories, sometimes in the middle of her guests responding to a question. For example, she will ask a question related to where an insecurity a guest has experienced stems from and Jameela will then interrupt mid-answer to share how SHE had something similar and how SHE pinpointed it, got over it, and her own takeaways from her own experience, then she moves on to another question. 

I was so excited to hear from Kelly Rowland but I feel as though I never got to listen to her finish her thoughts or share her complete story about her experiences. I truly believe I know more about Jameela than Kelly after listening to the interview.

I understand that Jameela’s personality is dominating, but I hope she goes back and listens to her own podcast episodes and tries to understand how to better move forward with these interviews. An interviewer should not usually be speaking more than the guest."
5,Niki Glasser ep,"The best, most honest guest. Very relatable story lines in her life and yours as well. I am in recovery from anorexia but very much still struggling. My life long battle. Today was a good day tho. Hopefully tomorrow will follow suit. 
Thanks for your pod💟"
5,More Gunter.,"Love your podcast. I especially love when you have Dr Gunter on. You should have her on at least once a quarter. She is in interesting and entertaining. Your other guests are great too, but she is especially awesome."
5,Thank you!,"I have been listening to this podcast since it’s beginning. Last year. I love to hear them! I listen with my son ( 18). We  just finished the Jane Fonda pod. She Is a brilliant person. I understand  your fan girl ideas. Rest assured, during the interview you were quite coherent.
It is ok to have emotions show. We Americans must be rubbing off on you."
3,"Love the aim of the pod, wish we could hear more from guests",I love the choices Jameela and team make with guests and topics. The podcast is addressing a key gap in public discourse. I respectfully suggest that the aims of the podcast would be more holistically achieved if the guests were given more space to speak - less interruption and less (well-intentioned) efforts to demonstrate how the host relates to the lived experience of the guest. Thank you!
5,Thank you,"This podcast brings strength, inspiration, and reminders about what truly matters! It is the most meaningful podcast I listen to."
5,Love this so so much!!,Jameela is first off an INCREDIBLE person! Her story is beautiful and inspiring and motivational and makes it feel like your not alone :) The topics she addresses are so important and having a podcast about it is amazing!! I can't get enough of it and she teaches about so many important things while still doing it in an entertaining way!
5,I just love her,"Jameela is one of those people that I’m just happy to be alive at the same time as. So much of what she says really resonates with me; I feel like she’s a best friend in my ear agreeing with me that the world is horrible, and also still worth trying to survive in. She’s also just really funny and I like her a lot. Thankful for her podcast."
5,Jameela Jamil is a fantastic role model,I appreciate the perspectives this podcast has brought me. I feel included in the conversations and learn something new about the world or myself every episode. I really admire Jameela’s ability to bring up personal questions in a safe and encouraging way. She is so eloquent in the way she’s speaks while still being so relatable. Great pod.
5,Love this show and all the guests!,"I’m a huge fan of Jameela’s sense of humor and they way she unapologetically speaks up against injustice and bigotry. I especially love the guests she chooses to host and all of the amazing people I’ve been introduced to through I Weigh, particularly those from the LGBT+ community. Go listen!"
5,Thank you!,Thank you for everything that you bring attention to! I am a 25 year woman working as a bartender and I get sexualized by men constantly. This podcast makes me feel empowered and more capable of standing up for myself. It has inspired me to educate myself further to feel more confident to talk about these issues. I most of the time feel like I'm annoying to people when I do bring these things up. I love that you don't care what people think. I would love to meet you some day just to have a chat about the world and how we can make it better! You are doing something wonderful and its so important! Keep it up!
5,Learn something new each time.,"About one of her guests, about women’s bodies, and so on.  I especially love her guest intros."
4,Women’s voices!,"I have a great deal of respect for Jameela Jamil and her activism, and her guests are great. I wish she would give those guests a little more room to breathe - she often interrupts or steamrolls them in conversation, which disrupts the listening experience. It’s like she’s using her guests to make her point instead of letting them come to that point through the course of the interview. Despite this, it’s a great show and I recommend it to both women and men out there!"
4,Inclusive Podcast!,"I fully enjoy this podcast and I love that it's hosted by a woman of color, features BIPOC folx and other underrepresented communities and really goes in depth on mental health, the toxicity of social media, the problematic patriarchy and other amazing topics. My only feedback is Jameela is so excited and passionate about her guests and topics, that she often cuts them off and does a lot of talking. She uses her opening to talk about where she's at, etc. so I wish for the majority of the interview to be about her guests, their experiences and their voices 🙏🏽"
5,Women empowerment,Love this podcast!!!
5,Refreshing,Thank you for being not only suppportive but hugely informative.  Thank you for all the time and hard work preparing for and giving  great shows.  Please consider (and this is only because I love you all so much) maybe having a podcast mashup with the ladies from POOG who are also smart and fun to listen to.
5,Brilliant,Brilliant conversation. I love the realness of what Jameela and her guests talk about.
5,10/10 Recommend,I love Jameela before but now I love her even more! She is a thoughtful I host who really tries to connect with her guests. The episode with Demi Lovato is my favorite :)
5,The absolute best,I loved Jameela from the Good Place so when I checked out this podcast it made me feel heard and seen and I fell in love. Jameela is someone I idolize so much and hearing about her life and her struggles and having these open conversations with other people I find important and fascinating I just. Thank you Jameela!!! ❤️
5,Dolphin 🐬,"I just found your podcast or it found me. I’m in love with the authenticity, honesty, humor and intelligence between you and your guests.  The color of my 🚙 is Dolphin Gray!!! I paid her off yesterday!!! A great release of “dolphins”. Listen 🎧 to this episode to understand."
5,Love Jameela and guests,"This podcast is so enjoyable, I love the interviews and how she combines so many issues I care about with interesting guests and interviews. I love learning more about people I’ve admired and being introduced to some really fantastic people who are new to me!"
5,like a conversation with a friend,"I love Jameela! She is such a gem. Some of my favorite episodes include her interview with Dr. Deepika Chopra on Optimism and with Dr. Vivek Murthy on Connectivity and the Loneliness Epidemic.

She is so authentic, hilarious, and empathetic, and undoubtedly we need more of these people in what can often feel like a harsh world filled with expectations for what kind of people we “should” be. Thank you Jameela, we all appreciate what you put out there :)"
3,i know she’s trying,"i know jameela jamil is trying to help normalize mental illness, especially eating disorders, but every time i listen to an episode i end up feeling disappointed. i have had binge eating disorder since i was a small child, and it has never been discussed on this show or even mentioned in passing. it perpetuates the idea that the only eating disorders are “thin/healthy/desirable” and ignores the fact that you can have an eating disorder which further alienates you from “normal/straight size” society the longer you have it. also, fatphobic things and ideas come up way too often with her guests and are left unchecked or are even upheld as facts, and i wish she’d talk to more experts or people with real, scientific/psychiatric knowledge. i really wanted to like this, but i have to unsubscribe because this just makes me feel so bad about myself every time i listen to it."
5,So much love,"This show is my therapy on the days I don’t have therapy. I love it so much, thank you for having these conversations 🙏🏼"
5,A place for everyone.,"If you’re a human with any semblance of an open mind, you’ll love and benefit from this pod and the instagram community."
5,Fabulous!,"Just listened to my first episode, with Dr. Gunter. Very informative and engaging."
5,LOVE this podcast,Absolutely love this podcast. So informative and and real. Jameela for president.
5,A joy,I love listening to this podcast- so positive and empowering. Feels like a form of self care each week
5,LOVE this podcast,Incredible guests and super informative!! Absolutely love tuning in.
5,"So incredible. Seriously, listen now.",This is a recent favorite of mine. I listen to this podcast on the regular but perhaps the greatest part of this is the mental health supportive conversations and the interesting guests that she brilliantly interviews. We all deserve this podcast because we all deserve to love ourselves more and then spread that joy to our surroundings.
5,What a gift.,"This podcast is phenomenal. No shock since it’s hosted by a phenomenal woman, Jameela Jamil."
5,Just what 2020 & 2021 needed,"This is one of my favorite self-care shows for re-affirming progressive, compassionate beliefs and finding empowerment."
5,Absolutely inspiring,This podcast continues to challenge me to continue to undergo personal growth! Thank you💕
5,Lou M 2021,Fantastic! Thank you!!
5,Amazing! Theeee Greatest!,"Thank you Jameela and guests. Every episode is so important, transparent, self-conscious, and brilliant. This podcast has what I need when I need it. I am grateful for the work you and your guest are sharing with world. It truly is meaningful. So much love to all. 💜"
5,The optimism doctor- best episode yet,"I so loved this episode and have loved them all. The conversation about making mistakes was so important. Especially as it relates to social justice and being an ally to BIPOC community. It allowed me to think about a mistake I recently made and not get caught up in shame, but to see how I can move forward and do better ( as a white person)."
5,Refreshing,"Ms Jamil talks about hard things on her podcast, and it's helpful to hear that even celebrities are like the rest of us."
5,Full of healthy ideas,Listening to ‘I Weigh’ is good for your health 💚
5,Incredibly inspirational and entertaining,Jameela will elevate and inspire you during her interviews. I found myself wishing I had people like her in my real life! I am truly changed after just one episode. I am so happy I found this podcast and I can’t wait for more.
5,Love,Love love love this podcast. It is so real and educating. Please have Rep. Ayanna Pressley on the podcast! That conversation feels so necessary.
5,AMAZING,"This podcast is absolutely amazing!! This has made me more confident, happier, and has taught me important lessons that i think everyone needs to know. thank you Jameela Jamil, and much love."
5,Simply phenomenal,"Funny, smart and thoughtful."
1,Liar,She’s a pathological liar.
5,Real talk with a real person,I just love this podcast! I have learned something from each episode. I feel like I’m truly part of the conversation. Jameela is such a genuine and down-to-earth. Thank you!
5,Thank you!,Love love love this podcast and the honest conversations!
5,"Love, love, love this!💕",Got hooked on Jameela while watching The Good Life during the early days of COVID lockdown. Was even more intrigued after reading a lil bit about Jameela’s background and all the crap she’s been through. I recently started listening to this podcast and all I can say is  “Wow! Fantastic podcast with great guest and fabulous topics. Carry on...👏🏽👏🏽👏🏽
5,Honesty,Love the honesty of the host and guests!! Enjoyable to listen to!
3,Grateful and confused,"*I’m editing this review to say: if you have experience with an eating disorder maybe avoid the episode with Caitlin Moran or proceed with caution. There are many details that can be very triggering and unhelpful, as well, not HAES informed (the O word is used).*

I genuinely think Jameela is doing great work and I’m grateful for her public self reflection and vulnerability. I hope she continues to role model  how to give ourselves permission to learn and unlearn as fast or slowly as we need. I also think she speaks to an AMAZING range of incredible people. With that said, as someone who is deeply concerned about, and recovering from diet culture and deep into learning about dismantling it, I’m disappointed that I get frustrated with the ways she still seems to miss the mark. I think it’s okay to say this because it’s different when talking about someone you know versus someone with a huge platform who talks about this stuff intentionally using that platform. Maybe I’m being too picky but it’s these things that make it hard for me to listen sometimes: examples: when interviewing Aubrey (Yrfatfriend), she interjects to share about how she can relate and talks about her chubbiness in childhood; about how she loved her tummy and would intentionally show off her “food baby” or “stick it out”. The thing is, I wanted to hear about Audrey’s experience not about how their experiences are similar. Because they *are* different and that was Aubrey’s point. Someone who can actually “stick their tummy out” or show a food baby is not the same as the kind of fatness that gets oppressed. Many people cannot choose when they want or don’t want to stick their bellies out and a “food baby” only really shows when your thin enough that eating will make a difference in the shape and size of your belly. This is just an example but instead of always relating it back to her moments of undoubtedly difficult but normal weight gain I wish we could just embrace the fat experience. Next, the ads. Why are they all wellness ads? And I don’t mean the kind of wellness that is counter to “wellness” and diet culture. She says she takes Ritual vitamins because they are *clean* (this is a harmfully ambiguous and notorious “wellness” culture term that falsely demonizes large groups of foods and harmful for those with orthorexia) also she says she takes them because she is lazy and isn’t always a nutritional expert. I know she’s being silly but its actually a “wellness” culture marketing technique (pulled from diet industry) to play on our vulnerability of not being nutritional experts to get us to spend money on expensive vitamins that we’re probably already getting from our food. They target those who can already afford to get their needs met through food but often don’t because elite wellness culture preaches restriction. No one should have to be a nutritional expert to eat and be well and that’s what is wrong with our culture. That’s the whole point against “wellness” culture. Lastly with the vitamins, you can take them on an empty stomach! Incase you don’t eat breakfast I guess? Again this is not meant to pick on Jameela, I am in full support of her but I couldn’t help but notice the bad feeling I get again and again when I hear these things. I know there must be others in recovery who feel the same."
5,Yaaaaaaaaas,"Yes. So needed. Great pod. Amazing. Relevant and helpful and awesome guests. Could you please list the websites and social media tags and links (when approp) of the guests in the show notes! That’d be extra helpful
THANK YOU FOR AN AMAZING POD
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
5,Amazing,Amazing amazing amazing! the revelation! The personality! Love love! I’m obsessed
5,Excellent!,This is one of my favorite podcasts and I look forward to it dropping each week.  Jamila has excellent guests and excellent discussions and we all need more of the transparency and humanity that is shared in each episode.
5,Highlight of my Friday!,"I look forward to new episodes every week. The guests are so wonderful, and I feel like this podcast constantly pushes me to love myself and love the world better"
5,Queen,"Just utter positivity and uplifting	 messages from this podcast, and I could listen to Jameela Jamil’s voice forever."
3,I feel cheated,"I love how open and enthusiastic you are and I feel cheated this week. I was very excited to hear from the guest yet my experience was you were asking follow up questions then answering with your own experiences and advice. I felt you did most of the talking. I felt cheated out of expertise from a guest I was excited about.
Again I love your enthusiasm and candor,,please consider listening to this week’s show. What would you do differently?
Thanks again."
3,Let guests speak!,Love Jameela’s opinions but would love to hear that if her guests too. She interrupts and talks over them a lot.
4,Love Jameela and agree with comments about interruptions,I love Jameela and how she is using her iweigh platform to advocate for really important issues. I do agree though that sometimes it’s hard to get through an episode because she often interrupts guests in the middle of their responses. I feel that her comments/experiences are valuable and there can be a more thoughtful way to engage in dialogue that allows space for both participants.
4,Yessss,"Love to hear from outspoken women! Suggestion to include a photo of the guest as the episodes thumbnail, similar to Armchair Expert. Sometimes I recognize someone’s face but not their name, might entice me to listen! :)"
5,Podcast for Badasses,Out spoken femmes.  I am hear for this!
5,Love love love,"Jameela is a fabulous host and I love the guests she chooses and the conversations are always funny, informative and interesting. 💕💎"
5,iWeigh has weight,"Jameela has amazing guests on her show who advocate for important causes and it’s lovely to be introduced to these people. I’m glad she uses her influence to promote others, especially Black women."
5,Love!!!,"I absolutely lOVE your podcast. Being a New Orleans girl, BIG FREEDIA!!!!  And omg Gloria Steinem!!!  Keep up the great work!  And I love how relatable and real you are!  💕✊🏼"
5,Jameela is a gift to the world,Jameela discusses in depth so many niche topics that need attention and she chooses her guests with care. I love the episodes with Alok and Beanie most but each one has its own unique purpose and conversation!
5,Great space to learn,So many great topics tackled by the lovely host and guests.
5,Judy Collins would be a great guest!,"She has dealt with suicide, alcoholism, anorexia and bulemia!
junket33"
5,5 starts,One of my faves.
5,Learning,"I love this learning space; This is the space where we set aside self interest/system-serving to, instead, build healthier more equitable ways of thinking and living. Smash the system!! Thank you!"
5,The podcast I was looking for,"I am in love with this podcast. If you’re looking for a podcast about frank, deep conversations about mental health and all things around that, then this podcast is for you! I also love the humor. Let’s learn together!"
1,Unsub re visit to M/H,"I followed you for a long time.

As I am a hardworking - unprivileged - white woman - abused from coaches when young, raped at 16, attacked by police and bosses in my industry - while being held prisoner and fighting - I find it fascinating that you would champion the two Sussex clowns when she has not lifted a finger but to handle her own ways and means.  

Turn it around.

I’ve been driving deliveries 14 hours a day and trying to help my sons as well as working underground with far more groundbreaking individuals"
5,What an inspirational podcast,I just started listening to this podcast after listening to Jameela on Conan’s podcast. I just finished Debra Messing’s episode. I loved it. I cried at the end. After Jameela asked what she weighs I fully expected her to say a number. I didn’t know what the ending response was going to be. Such an inspiration. Thanks so much for doing this amazing podcast Jameela. You are an amazing lady.
